,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,,NPR,Bobby Allyn,Five things to know about JD Vance’s connections to tech billionaires,"Vance, who has become a darling to the Silicon Valley elite, made inroads in tech and venture capital circles during a stint in San Francisco. Now, Vance is tapping that network to supercharge the Trump re-election bid.",https://www.npr.org/2024/07/17/g-s1-11654/five-things-to-know-about-jd-vances-connections-to-tech-billionaires,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4151x2335+0+216/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F42%2Fd7%2F29efa98545868165087bcae4ee7b%2Fgettyimages-1240191184.jpg,2024-07-17T23:58:19Z,"While Ohio Senator JD Vances Appalachian roots are well-known, thanks to his best-selling memoir Hillbilly Elegy, another aspect of Vances background is now gaining attention: His connection to promi… [+6662 chars]"
1,business-insider,Business Insider,Kwan Wei Kevin Tan,Mark Cuban says Silicon Valley's bet on Trump is a 'Bitcoin play',"Cuban said that tech executives aren't drawn to Trump because he is a ""far stronger proponent of crypto"" but for his policies which will drive prices.",https://www.businessinsider.com/mark-cuban-silicon-valley-bet-on-trump-bitcoin-play-2024-7,https://i.insider.com/66987878fb2b6bedb05829f5?width=1200&format=jpeg,2024-07-18T03:36:14Z,"""Shark Tank"" star Mark Cuban said that Silicon Valley's support for former President Donald Trump is a ""Bitcoin play.""Brian Fluharty via Getty Images; Kamil Krzaczynski/AFP via Getty Images
<ul><li>… [+4421 chars]"
2,business-insider,Business Insider,Dan DeFrancesco,"From Amazon to Dell, Corporate America's in-office crackdown is in full swing",Companies like Amazon and Dell have been in an ongoing battle over return-to-office mandates.,https://www.businessinsider.com/amazon-dell-crackdown-in-office-mandate-coffee-badging-tracking-2024-7,https://i.insider.com/66979d539caa6ed01e024004?width=1200&format=jpeg,2024-07-17T12:43:50Z,"Nathan Stirk/Getty Images
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Hi! If you've heard an… [+8058 chars]"
3,,ReadWrite,Radek Zielinski,Cardano founder pitches Elon Musk decentralized solution for X’s woes,"Following a recent hacking incident on X (formerly Twitter) affecting AI developer Ben Goertzel, Cardano (ADA) creator Charles Hoskinson has… Continue reading Cardano founder pitches Elon Musk decentralized solution for X’s woes
The post Cardano founder pitch…",https://readwrite.com/cardano-founder-pitches-elon-musk-decentralized-solution-for-xs-woes/,https://readwrite.com/wp-content/uploads/2024/07/a-large-white-x-on-a-black-background-with-green-d-2REZRyeDSAaKzcRXC6Hdzg-HY_L2BFuRSiNul63px-4BA.jpeg,2024-07-17T16:23:56Z,"Following a recent hacking incident on X (formerly Twitter)affecting AI developer Ben Goertzel, Cardano (ADA) creator Charles Hoskinson has suggested implementing decentralized identifiers (DIDs) to … [+2573 chars]"
4,,ReadWrite,Alvin Hemedez,Crypto Analyst Projects Shiba Inu Price Surge as Buying Activity Jumps 180%,"Despite the Fear & Greed Index signaling extreme fear recently, with retail investors showing significant apprehension, the Shiba Inu meme… Continue reading Crypto Analyst Projects Shiba Inu Price Surge as Buying Activity Jumps 180%
The post Crypto Analyst Pr…",https://readwrite.com/crypto-analyst-projects-shiba-inu-price-surge-as-buying-activity-jumps-180/,https://readwrite.com/wp-content/uploads/2024/07/crypto-analyst-projects-shiba-inu-price-surge.jpg,2024-07-17T20:57:13Z,"Despite the Fear &amp; Greed Index signaling extreme fear recently, with retail investors showing significant apprehension, the Shiba Inu meme coin has seen a remarkable 180% surge in buys.
This une… [+5225 chars]"
5,die-zeit,Die Zeit,ZEIT ONLINE: News -,Kryptowährung: Kommunale Ebene will von Bitcoins-Erlös profitieren,Hier finden Sie Informationen zu dem Thema „Kryptowährung“. Lesen Sie jetzt „Kommunale Ebene will von Bitcoins-Erlös profitieren“.,https://www.zeit.de/news/2024-07/17/kommunale-ebene-will-von-bitcoins-erloes-profitieren,https://img.zeit.de/news/2024-07/17/kommunale-ebene-will-von-bitcoins-erloes-profitieren-image-group/wide__1300x731,2024-07-17T11:14:13Z,Die Kommunen und Landkreise in Sachsen möchten vom sogenannten Bitcoin-Schatz profitieren. Der Sächsische Städte- und Gemeindetag (SSG) und der Landkreistag fordern eine Beteiligung von 35 Prozent am… [+2797 chars]
6,,MIT Technology Review,Rhiannon Williams,"The Download: Big Tech’s climate claims, and reducing your music streaming carbon footprint","This is today’s edition of The Download, our weekday newsletter that provides a daily dose of what’s going on in the world of technology. Google, Amazon and the problem with Big Tech’s climate claims Last week, Amazon trumpeted that it had purchased enough cl…",https://www.technologyreview.com/2024/07/17/1095061/the-download-big-techs-climate-claims-and-reducing-your-music-streaming-carbon-footprint/,"https://wp.technologyreview.com/wp-content/uploads/2024/07/netzero2b.jpg?resize=1200,600",2024-07-17T12:10:00Z,"As K-pop sweeps the world and accumulates a massive, devout fan base, these fans have been turning their power into action. Zeyi Yang, our China reporter, recently published a story about Kpop4planet… [+1548 chars]"
7,,Www.mdr.de,MDR SACHSEN,"Sachsen verkauft beschlagnahmte Bitcoins für 2,64 Milliarden Euro","Die Größenordnung ist hierzulande einmalig: Sächsische Ermittler haben beschlagnahmte Bitcoins aus den Verfahren gegen das Raubkopienportal ""movie2k.to"" verkauft - für etwa 2,64 Milliarden Euro. Wer das Geld bekommt, ist noch unklar.",https://www.mdr.de/nachrichten/sachsen/bitcoins-verkauf-geld-kryptowaehrung-strafverfahren-102.html,https://images.tagesschau.de/image/4cf99eec-efe5-402e-bf05-4a0b3f41aeeb/AAABkL9_lSI/AAABjwnlFvA/16x9-1280/mdr-das-logo-der-kryptowaehrung-bitcoin-btc-ist-auf-einer-muenze-zu-sehen-die-vor-einem-bitcoinchart-der-handelsplattform-100.jpg,2024-07-17T07:13:26Z,"Stand: 17.07.2024 09:13 Uhr
Es ist ein bundesweit einmaliger Vorgang: Noch nie wurde soviel Geld von sichergestellten Vermögenswerten durch eine Notveräußerung erzielt. Im Januar haben Ermittler aus… [+3999 chars]"
8,,Quartz India,Vinamrata Chaturvedi,"Elon Musk, Coinbase, Gemini, and more: Crypto players are putting cash into the 2024 election","As political attitudes toward cryptocurrencies change, the crypto industry is hopeful its fortunes will improve following the election",https://qz.com/elon-musk-coinbase-gemini-cryptocurrency-campaign-cash-1851583527,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/6076a3354c6a289d637359db5a4fb2a7.jpg",2024-07-17T09:00:00Z,"Crypto has become political this election year. 
Former President Donald Trump is accepting campaign donations in Bitcoin, Ether, Dogecoin, Solana, and others, and has declared himself a crypto cand… [+974 chars]"
9,,Quartz India,William Gavin,'It's a Bitcoin play': Mark Cuban speaks on Silicon Valley's support of Donald Trump,"When Donald Trump first ran for president in 2016, Silicon Valley seemed to widelyoppose his candidacy. Fast-forward to 2024, and elites in the region are publicly backing him in droves — but why? According to Mark Cuban, it’s all about cryptocurrency.Read mo…",https://qz.com/mark-cuban-silicon-valley-trump-bitcoin-crypto-musk-1851597062,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/ac40be67fe4ba9c910a45c0466a5551d.jpg",2024-07-17T19:40:00Z,"When Donald Trump first ran for president in 2016, Silicon Valley seemed to widely oppose his candidacy. Fast-forward to 2024, and elites in the region are publicly backing him in droves but why? Acc… [+3001 chars]"
